Number of Clusters Searched,Sample nProbe,nProbe,Monolithic NDCG,Split NDCG,Cluster NDCG,Monolithic Recall,Split Recall,Cluster Recall
8,8,128,0.8972274199146026,0.8248634093524296,0.9087113652503032,0.85625,0.7625,0.86875
8,8,256,0.9308758554070701,0.861601260590244,0.9482054446167606,0.9,0.80625,0.925
8,16,128,0.8635789844221353,0.8248634093524296,0.9087113652503032,0.8125,0.7625,0.86875
8,16,256,0.9308758554070701,0.861601260590244,0.9482054446167606,0.9,0.80625,0.925
8,32,128,0.8635789844221353,0.8248634093524296,0.9087113652503032,0.8125,0.7625,0.86875
8,32,256,0.9308758554070701,0.861601260590244,0.9482054446167606,0.9,0.80625,0.925
8,64,128,0.8635789844221353,0.8248634093524296,0.9087113652503032,0.8125,0.7625,0.86875
8,64,256,0.9308758554070701,0.861601260590244,0.9482054446167606,0.9,0.80625,0.925
8,128,128,0.8635789844221353,0.8248634093524296,0.9087113652503032,0.8125,0.7625,0.86875
8,128,256,0.9308758554070701,0.861601260590244,0.9482054446167606,0.9,0.80625,0.925
8,256,256,0.9308758554070701,0.861601260590244,0.9482054446167606,0.9,0.80625,0.925
9,1,128,0.8635789844221353,0.8748306911276739,0.9087113652503032,0.8125,0.8250000000000001,0.86875
9,1,256,0.9308758554070701,0.908981630264795,0.9482054446167606,0.9,0.86875,0.925
9,2,128,0.8635789844221353,0.8748306911276739,0.9087113652503032,0.8125,0.8250000000000001,0.86875
9,2,256,0.9308758554070701,0.908981630264795,0.9482054446167606,0.9,0.86875,0.925
9,4,128,0.8635789844221353,0.8748306911276739,0.9087113652503032,0.8125,0.8250000000000001,0.86875
9,4,256,0.9308758554070701,0.908981630264795,0.9482054446167606,0.9,0.86875,0.925
9,8,16,0.9308758554070701,0.6532177819526943,0.6766252536665368,0.9,0.56875,0.59375
9,8,32,0.9308758554070701,0.7571020611071709,0.7502951683879977,0.9,0.675,0.68125
9,8,64,0.9308758554070701,0.8252841245908176,0.8346456315083368,0.9,0.75625,0.775
9,8,128,0.8972274199146026,0.8748306911276739,0.9087113652503032,0.85625,0.8250000000000001,0.86875
9,8,256,0.9308758554070701,0.908981630264795,0.9482054446167606,0.9,0.86875,0.925
9,16,128,0.8635789844221353,0.8748306911276739,0.9087113652503032,0.8125,0.8250000000000001,0.86875
9,16,256,0.9308758554070701,0.908981630264795,0.9482054446167606,0.9,0.86875,0.925
9,32,128,0.8635789844221353,0.8748306911276739,0.9087113652503032,0.8125,0.8250000000000001,0.86875
9,32,256,0.9308758554070701,0.908981630264795,0.9482054446167606,0.9,0.86875,0.925
9,64,128,0.8635789844221353,0.8748306911276739,0.9087113652503032,0.8125,0.8250000000000001,0.86875
9,64,256,0.9308758554070701,0.908981630264795,0.9482054446167606,0.9,0.86875,0.925
9,128,128,0.8635789844221353,0.8748306911276739,0.9087113652503032,0.8125,0.8250000000000001,0.86875
9,128,256,0.9308758554070701,0.908981630264795,0.9482054446167606,0.9,0.86875,0.925
9,256,256,0.9308758554070701,0.908981630264795,0.9482054446167606,0.9,0.86875,0.925
10,1,128,0.8635789844221353,0.9255822164150878,0.9087113652503032,0.8125,0.89375,0.86875
10,1,256,0.9308758554070701,0.9630985719496539,0.9482054446167606,0.9,0.94375,0.925
10,2,128,0.8635789844221353,0.9255822164150878,0.9087113652503032,0.8125,0.89375,0.86875
10,2,256,0.9308758554070701,0.9630985719496539,0.9482054446167606,0.9,0.94375,0.925
10,4,128,0.8635789844221353,0.9255822164150878,0.9087113652503032,0.8125,0.89375,0.86875
10,4,256,0.9308758554070701,0.9630985719496539,0.9482054446167606,0.9,0.94375,0.925
10,8,16,0.9308758554070701,0.7245767888033717,0.6766252536665368,0.9,0.65,0.59375
10,8,32,0.9308758554070701,0.8154696116881867,0.7502951683879977,0.9,0.75,0.68125
10,8,64,0.9308758554070701,0.877887819704109,0.8346456315083368,0.9,0.8250000000000001,0.775
10,8,128,0.8972274199146026,0.9255822164150878,0.9087113652503032,0.85625,0.89375,0.86875
10,8,256,0.9308758554070701,0.9630985719496539,0.9482054446167606,0.9,0.94375,0.925
10,16,128,0.8635789844221353,0.9255822164150878,0.9087113652503032,0.8125,0.89375,0.86875
10,16,256,0.9308758554070701,0.9630985719496539,0.9482054446167606,0.9,0.94375,0.925
10,32,128,0.8635789844221353,0.9255822164150878,0.9087113652503032,0.8125,0.89375,0.86875
10,32,256,0.9308758554070701,0.9630985719496539,0.9482054446167606,0.9,0.94375,0.925
10,64,128,0.8635789844221353,0.9255822164150878,0.9087113652503032,0.8125,0.89375,0.86875
10,64,256,0.9308758554070701,0.9630985719496539,0.9482054446167606,0.9,0.94375,0.925
10,128,128,0.8635789844221353,0.9255822164150878,0.9087113652503032,0.8125,0.89375,0.86875
10,128,256,0.9308758554070701,0.9630985719496539,0.9482054446167606,0.9,0.94375,0.925
10,256,256,0.9308758554070701,0.9630985719496539,0.9482054446167606,0.9,0.94375,0.925
