Frequency,Cluster ID,Batch Size,nprobe,Retrieved Docs,Num Threads,Avg Retrieval Latency (s)
1000,3,24,128,5,32,0.17733057737350463
1000,3,32,128,5,32,0.17938313603401185
1000,3,40,128,5,32,0.3286044704914093
1000,3,48,128,5,32,0.33596965551376345
1000,3,56,128,5,32,0.33949535608291626
1000,3,64,128,5,32,0.34276183843612673
1000,3,72,128,5,32,0.4860998630523682
1000,3,80,128,5,32,0.4933103621006012
1000,3,88,128,5,32,0.49874544620513916
1000,3,96,128,5,32,0.503573077917099
1000,3,104,128,5,32,0.6429318308830261
1000,3,112,128,5,32,0.6529000425338745
1000,3,120,128,5,32,0.6565947377681732
1000,3,128,128,5,32,0.659799233675003
1000,3,136,128,5,32,0.7978397047519684
1000,3,144,128,5,32,0.8069059133529664
1000,3,152,128,5,32,0.8131833982467651
1000,3,160,128,5,32,0.8165214323997497
1000,4,1,128,5,32,0.14552547335624694
1000,4,2,128,5,32,0.15038443207740784
1000,4,4,128,5,32,0.15581588506698607
1000,4,8,128,5,32,0.16062298893928528
1000,4,16,128,5,32,0.165729079246521
1000,4,24,128,5,32,0.1681494176387787
1000,4,32,128,5,32,0.1709788429737091
1000,4,40,128,5,32,0.3108225727081299
1000,4,48,128,5,32,0.318284649848938
1000,4,56,128,5,32,0.31984235167503355
1000,4,64,128,5,32,0.3236315357685089
1000,4,72,128,5,32,0.4599654448032379
1000,4,80,128,5,32,0.4656941473484039
1000,4,88,128,5,32,0.4702439534664154
1000,4,96,128,5,32,0.4746266639232635
1000,4,104,128,5,32,0.6071243178844452
1000,4,112,128,5,32,0.6152883374691009
1000,4,120,128,5,32,0.6200023460388183
1000,4,128,128,5,32,0.6229932367801666
1000,4,136,128,5,32,0.7562553465366364
1000,4,144,128,5,32,0.7641296720504761
1000,4,152,128,5,32,0.7666013610363006
1000,4,160,128,5,32,0.7725995504856109
1000,5,1,128,5,32,0.18907825112342835
1000,5,2,128,5,32,0.2141792917251587
1000,5,4,128,5,32,0.20967853784561158
1000,5,8,128,5,32,0.21468357086181641
1000,5,16,128,5,32,0.21481037020683288
1000,5,24,128,5,32,0.21766138195991516
1000,5,32,128,5,32,0.22109764456748962
1000,5,40,128,5,32,0.40144474983215334
1000,5,48,128,5,32,0.4113910186290741
1000,5,56,128,5,32,0.41746720790863034
1000,5,64,128,5,32,0.4191324758529663
1000,5,72,128,5,32,0.5951838326454163
1000,5,80,128,5,32,0.6037722158432007
1000,5,88,128,5,32,0.6086730539798737
1000,5,96,128,5,32,0.6137730836868286
1000,5,104,128,5,32,0.7857073318958282
1000,5,112,128,5,32,0.7985492539405823
1000,5,120,128,5,32,0.8060538983345031
1000,5,128,128,5,32,0.8078802609443665
1000,5,136,128,5,32,0.978368319272995
1000,5,144,128,5,32,0.9902665460109711
1000,5,152,128,5,32,0.9961312234401702
1000,5,160,128,5,32,1.0023378884792329
1000,6,1,128,5,32,0.1304033374786377
1000,6,2,128,5,32,0.13855454325675964
1000,6,4,128,5,32,0.1473116934299469
1000,6,8,128,5,32,0.15260621547698974
1000,6,16,128,5,32,0.1578243577480316
1000,6,24,128,5,32,0.16131462574005126
1000,6,32,128,5,32,0.16522966861724853
1000,6,40,128,5,32,0.29016543984413146
1000,6,48,128,5,32,0.2985829830169678
1000,6,56,128,5,32,0.30383517742156985
1000,6,64,128,5,32,0.3069454622268677
1000,6,72,128,5,32,0.42742831945419313
1000,6,80,128,5,32,0.4364392292499542
1000,6,88,128,5,32,0.44234660029411316
1000,6,96,128,5,32,0.44657392382621763
